sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
SRR5383374	70183	60206	85.78	60026	57915	82.52	57257	81.58
SRR5383375	63556	56302	88.59	56068	53789	84.63	53071	83.5
SRR5383376	68077	58228	85.53	58028	55581	81.64	54868	80.6
SRR5383377	258579	224215	86.71	223738	215408	83.3	211351	81.74
SRR5383378	59564	53019	89.01	52766	50646	85.03	50062	84.05
SRR5383379	61662	53653	87.01	53458	51199	83.03	50425	81.78
SRR5383387	59089	53269	90.15	53064	51216	86.68	50655	85.73
SRR5383388	68919	61843	89.73	61617	59217	85.92	58630	85.07
SRR5383389	59793	48863	81.72	48663	46300	77.43	45839	76.66
SRR5383390	64526	57737	89.48	57442	55002	85.24	54478	84.43
SRR5383391	75195	64974	86.41	64753	62183	82.7	61366	81.61
SRR5383392	77701	69167	89.02	68912	64733	83.31	63601	81.85
SRR7876528	83767	79169	94.51	79040	78517	93.73	77324	92.31
SRR7876529	203243	188207	92.6	188004	184860	90.96	177206	87.19
SRR7876530	148278	138485	93.4	138312	137083	92.45	135524	91.4
SRR7876531	63660	56130	88.17	55965	54889	86.22	53777	84.48
SRR7876532	116626	109687	94.05	109596	108860	93.34	98539	84.49
SRR7876533	43288	40520	93.61	40433	40025	92.46	39922	92.22
SRR7876534	176856	162152	91.69	162035	159630	90.26	152534	86.25
SRR7876535	129075	119590	92.65	119406	117639	91.14	114451	88.67
SRR7876536	40503	36169	89.3	36070	35391	87.38	32935	81.31
SRR7876537	130643	126510	96.84	126300	125740	96.25	124478	95.28
SRR7876538	52286	46923	89.74	46837	46524	88.98	45919	87.82
SRR7876539	123260	115987	94.1	115871	114792	93.13	108890	88.34
SRR7876540	73255	66360	90.59	66225	65370	89.24	62969	85.96
SRR7876541	67586	61489	90.98	61450	60897	90.1	60410	89.38
SRR7876542	133881	124882	93.28	122898	119964	89.6	118653	88.63
SRR7876543	19516	17772	91.06	17718	17452	89.42	16897	86.58
SRR7876544	47876	42312	88.38	42210	41633	86.96	40958	85.55
SRR7876545	39158	36953	94.37	36850	36534	93.3	36115	92.23
SRR7876546	77300	66740	86.34	66544	65958	85.33	64372	83.28
SRR7876547	155668	145007	93.15	144926	144081	92.56	143553	92.22
SRR7876548	162121	152944	94.34	152714	151223	93.28	144264	88.99
SRR7876549	116248	109553	94.24	109415	108785	93.58	104198	89.63
SRR7876550	129397	120982	93.5	120855	119439	92.3	116509	90.04
SRR7876551	89625	83895	93.61	83754	83260	92.9	82885	92.48
SRR7876552	147459	134150	90.97	133944	132798	90.06	122738	83.24
SRR7876553	44102	41898	95	41759	41329	93.71	39291	89.09
SRR7876554	264056	245905	93.13	245695	242579	91.87	233073	88.27
SRR7876555	139	122	87.77	92	74	53.24	69	49.64
SRR7876556	86488	81892	94.69	81750	81121	93.79	79415	91.82
SRR7876557	16965	15664	92.33	15608	15438	91	14985	88.33
SRR7876558	72397	67104	92.69	67054	66272	91.54	65061	89.87
SRR7876559	91886	86351	93.98	86261	84886	92.38	81875	89.1
SRR7876560	103956	96015	92.36	95928	94380	90.79	92210	88.7
SRR7876561	75054	69188	92.18	69066	68534	91.31	61019	81.3
SRR7876562	84501	77153	91.3	77061	75762	89.66	70287	83.18
SRR7876563	123295	115048	93.31	114997	114300	92.7	112625	91.35
SRR7876564	224681	210872	93.85	210642	208840	92.95	198627	88.4
SRR7876565	53838	49569	92.07	49480	49016	91.04	46628	86.61
SRR7876566	73283	67395	91.97	67219	66151	90.27	64804	88.43
SRR7876567	107688	99480	92.38	99297	98184	91.17	95248	88.45
SRR7876568	248332	225587	90.84	225399	223599	90.04	214815	86.5
SRR7876569	82069	73847	89.98	73690	72652	88.53	70622	86.05
SRR7876570	93058	85231	91.59	85037	83649	89.89	80779	86.81
SRR7876571	251640	236942	94.16	236766	235108	93.43	226019	89.82
SRR7876572	84342	79365	94.1	79226	78455	93.02	75328	89.31
SRR7876573	212621	200377	94.24	200224	198924	93.56	195552	91.97
SRR7876574	28516	25115	88.07	25033	24601	86.27	22322	78.28
SRR7876575	63088	55201	87.5	55092	54187	85.89	52102	82.59
SRR7876576	258244	239085	92.58	238978	237804	92.09	233340	90.36
SRR7876577	16223	15014	92.55	14966	14696	90.59	14696	90.59
SRR7876578	289889	273238	94.26	273145	271934	93.81	253396	87.41
SRR7876579	159004	146983	92.44	146737	145511	91.51	140127	88.13
SRR7876580	57988	53217	91.77	53076	52428	90.41	45864	79.09
SRR7876581	142131	129950	91.43	129837	129398	91.04	126125	88.74
SRR7876582	53345	49704	93.17	49625	49157	92.15	48131	90.23
SRR7876583	91050	83889	92.14	83704	82841	90.98	77377	84.98
SRR7876584	306753	285677	93.13	285397	281180	91.66	276467	90.13
SRR7876585	41589	38214	91.88	38079	37402	89.93	33940	81.61
SRR7876586	101887	93545	91.81	93423	92316	90.61	91438	89.74
SRR7876587	253677	228001	89.88	227662	225286	88.81	208098	82.03
SRR7876588	76201	70612	92.67	70522	69749	91.53	65675	86.19
SRR7876589	356770	332046	93.07	331714	328049	91.95	306420	85.89
SRR7876590	94568	88271	93.34	88135	87482	92.51	85978	90.92
SRR7876591	145165	133719	92.12	133649	133074	91.67	131155	90.35
SRR7876592	93365	83898	89.86	83813	83045	88.95	80681	86.41
SRR7876593	107931	97253	90.11	97110	95594	88.57	89807	83.21
SRR7876594	39151	36065	92.12	35990	35618	90.98	35525	90.74
